cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi
58577,KOPERASI DESA MERAH PUTIH KAYUAPAK KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,KAYUAPAK,POLOKARTO,-7.62493188,110.92507560,"Padi, Jagung, Kacang Tanah, Cabai, Tomat, Pisang, Mangga, Alpukat, Melon, Sapi, Kambing, Domba, Ayam",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KAYUAPAK KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
58587,KOPERASI DESA MERAH PUTIH BULU KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,BULU,POLOKARTO,-7.67293281,110.93881200,Sapi,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH BULU KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,Kantor Koperasi
58637,KOPERASI DESA MERAH PUTIH KENOKOREJO KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,KENOKOREJO,POLOKARTO,-7.66919456,110.88197650,"Padi, Melon, Kambing, Ayam",koperasi merah putih desa kenokorejo,"Pengadaan Sembako, Kantor Koperasi"
58657,KOPERASI DESA MERAH PUTIH POLOKARTO KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,POLOKARTO,POLOKARTO,-7.64436640,110.92463310,"Mangga, Jagung, Ubi Kayu, Kacang Tanah, Cabai, Pisang, Alpukat, Sapi, Kambing, Domba, Ayam",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH POLOKARTO KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
58675,KOPERASI DESA MERAH PUTIH JATISOBO KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,JATISOBO,POLOKARTO,-7.62040654,110.90467520,"Bebek, Agen Gas, Umkm, Itik, Padi, Alpukat, Tanaman Obat, Sapi, Kambing, Domba, Ayam, Perikanan, Wisata Situs Sejarah Dan Museum","Kantor DMP, Unit Simpan Pinjam, Gerai LPG","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi"
58729,KOPERASI DESA MERAH PUTIH KEMASAN KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,KEMASAN,POLOKARTO,-7.65243120,110.88575070,"Padi, Kambing, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KEMASAN KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
58738,KOPERASI DESA MERAH PUTIH TEPISARI KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,TEPISARI,POLOKARTO,-7.66512821,110.90894740,"Kacang Tanah, Kambing",-,Pengadaan Sembako
61789,KOPERASI DESA MERAH PUTIH GENENGSARI KECAMATAN POLOKARTO KABUPATEN SUKOHARJO,GENENGSARI,POLOKARTO,-7.63134371,110.93907850,"Jagung, Ubi Kayu, Kacang Tanah, Cabai, Tomat, Pisang, Alpukat, Sapi, Kambing, Domba, Ayam, Padi",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi"
49354,KOPERASI DESA MERAH PUTIH LENGKING KECAMATAN BULU KABUPATEN SUKOHARJO,LENGKING,BULU,-7.73326875,110.82547560,"Padi, Pisang, Sapi, Kambing, Ayam, Bebek, Perikanan",-,Pengadaan Sembako
49492,KOPERASI DESA MERAH PUTIH DESA MALANGAN KECAMATAN BULU KABUPATEN SUKOHARJO,DESA MALANGAN,BULU,-7.73878282,110.80671540,Padi,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH DESA MALANGAN KECAMATAN BULU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
50814,KOPERASI DESA MERAH PUTIH PURON KECAMATAN BULU KABUPATEN SUKOHARJO,PURON,BULU,-7.75129378,110.80848490,Padi,"GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH PURON KECAMATAN BULU KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH PURON KECAMATAN BULU KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi"
52667,KOPERASI DESA MERAH PUTIH SANGGANG KECAMATAN BULU KABUPATEN SUKOHARJO,SANGGANG,BULU,-7.77403460,110.80341530,"Serai, Arang Kayu, Alpukat",KANTOR KOPERASI DESA SANGGANG,Kantor Koperasi
52876,KOPERASI DESA MERAH PUTIH KEDUNGSONO KECAMATAN BULU KABUPATEN SUKOHARJO,KEDUNGSONO,BULU,-7.79998977,110.85033180,"Padi, Pisang, Mangga, Sapi, Kambing, Ayam, Bebek",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KEDUNGSONO KECAMATAN BULU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
52888,KOPERASI DESA MERAH PUTIH KARANGASEM KECAMATAN BULU KABUPATEN SUKOHARJO,KARANGASEM,BULU,-7.75905984,110.85090260,"Pisang, Mangga, Alpukat, Sapi, Kambing, Ayam, Bebek, Perikanan, Padi","AGEN POS, GERAI KANTOR, GERAI LAKU PANDAI","Pengadaan Sembako, Kantor Koperasi"
52908,KOPERASI DESA MERAH PUTIH GENTAN KECAMATAN BULU KABUPATEN SUKOHARJO,GENTAN,BULU,-7.78387714,110.83750810,"Padi, Sapi, Kambing, Domba, Ayam, Perikanan",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi"
52910,KOPERASI DESA MERAH PUTIH NGASINAN KECAMATAN BULU KABUPATEN SUKOHARJO,NGASINAN,BULU,-7.74444764,110.83280080,"Padi, Jagung, Kacang Tanah, Cabai, Bawang, Pisang, Mangga, Sapi, Kambing, Ayam, Bebek",-,Pengadaan Sembako
52912,KOPERASI DESA MERAH PUTIH TIYARAN KECAMATAN BULU KABUPATEN SUKOHARJO,TIYARAN,BULU,-7.77115296,110.84948030,"Padi, Pisang, Mangga, Sapi, Kambing, Ayam, Bebek","GERAI SEMBAKO KOPERASI DESA MERAH PUTIH TIYARAN KECAMATAN BULU KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH TIYARAN KECAMATAN BULU KABUPATEN SUKOHARJO","Pengadaan Sembako, Kantor Koperasi"
57821,KOPERASI DESA MERAH PUTIH KAMAL KECAMATAN BULU KABUPATEN SUKOHARJO,KAMAL,BULU,-7.77326140,110.82023690,"Padi, Kayu Jati, Kacang Tanah, Peternakan Sapi, Perternakan Ayam, Peternakan Kambing, Arang Kayu","GERAI SEMBAKO KOPDES KAMAL, ATM MINI, KOPDES KAMAL","Pengadaan Sembako, Kantor Koperasi"
61945,KOPERASI DESA MERAH PUTIH BULU KECAMATAN BULU KABUPATEN SUKOHARJO,BULU,BULU,-7.76034620,110.83432920,"Sapi, Kambing, Padi, Ayam",-,Pengadaan Sembako
62232,KOPERASI DESA MERAH PUTIH KUNDEN KECAMATAN BULU KABUPATEN SUKOHARJO,KUNDEN,BULU,-7.75881956,110.81980670,"Ayam, Padi",-,Pengadaan Sembako
49512,KOPERASI DESA MERAH PUTIH TEGALSARI KECAMATAN WERU KABUPATEN SUKOHARJO,TEGALSARI,WERU,-7.77239980,110.73604660,Padi,Kantor Desa  Tegalsari,Pengadaan Sembako
49694,KOPERASI DESA MERAH PUTIH KARANGMOJO KECAMATAN WERU KABUPATEN SUKOHARJO,KARANGMOJO,WERU,-7.77434600,110.76529400,"Padi, Kambing","GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KARANGMOJO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH KARANGMOJO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH KARANGMOJO KECAMATAN WERU KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi"
52720,KOPERASI DESA MERAH PUTIH KARAKAN KECAMATAN WERU KABUPATEN SUKOHARJO,KARAKAN,WERU,-7.78766625,110.74544070,"Kambing, Padi",KDMP karakan Kecamatan Weru Kabupaten Sukoharjo,Pengadaan Sembako
52817,KOPERASI DESA MERAH PUTIH TAWANG KECAMATAN WERU KABUPATEN SUKOHARJO,TAWANG,WERU,-7.75493327,110.75247030,Padi,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH TAWANG KECAMATAN WERU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
52926,KOPERASI DESA MERAH PUTIH WERU KECAMATAN WERU KABUPATEN SUKOHARJO,WERU,WERU,-7.78019155,110.75663860,Padi,Kantor KDMP Weru,"Pengadaan Sembako, Kantor Koperasi"
52953,KOPERASI DESA MERAH PUTIH ALASOMBO KECAMATAN WERU KABUPATEN SUKOHARJO,ALASOMBO,WERU,-7.78878353,110.78639320,"Padi, Sapi",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH ALASOMBO KECAMATAN WERU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
52961,KOPERASI DESA MERAH PUTIH JATINGARANG KECAMATAN WERU KABUPATEN SUKOHARJO,JATINGARANG,WERU,-7.80410330,110.76228060,"Melon, Industri Tahu Watukelir, Krupuk Watukelir",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH JATINGARANG KECAMATAN WERU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
56593,KOPERASI DESA MERAH PUTIH KRAJAN KECAMATAN WERU KABUPATEN SUKOHARJO,KRAJAN,WERU,-7.81549155,110.75297590,"Padi, Perikanan",-,Pengadaan Sembako
56620,KOPERASI DESA MERAH PUTIH GROGOL KECAMATAN WERU KABUPATEN SUKOHARJO,GROGOL,WERU,-7.78445320,110.72329420,"Sapi, Umkm Produksi Gendeng, Umkm Tenun Lurik, Padi, Kambing","GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH GROGOL KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH GROGOL KECAMATAN WERU KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi"
56629,KOPERASI DESA MERAH PUTIH KARANGTENGAH KECAMATAN WERU KABUPATEN SUKOHARJO,KARANGTENGAH,WERU,-7.79201795,110.73432460,"Padi, Kambing, Perikanan, Kerajinan Logam",KDMP KARANGTENGAH KEC.WERU KAB. SUKOHARJO,Pengadaan Sembako
60425,KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO,KARANGANYAR,WERU,-7.79505061,110.77003200,"Sapi, Padi","GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI COLD STORAGE/COLD CHAIN KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO, UNIT USAHA LAINNYA KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN WERU KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Pergudangan / Cold Storage, Kantor Koperasi"
61546,KOPERASI DESA MERAH PUTIH KARANGWUNI KECAMATAN WERU KABUPATEN SUKOHARJO,KARANGWUNI,WERU,-7.80117623,110.74873860,"Perikanan, Padi",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KARANGWUNI KECAMATAN WERU KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
