cooperative_id,rata_jarak_antar_kopdes_m,kepadatan_jaringan_jalan,Kepadatan_Komersial_UMKM,Jarak_Min_Komersial_m,Kepadatan_Logistik_Eksternal,Jarak_Min_Logistik_m,Kepadatan_Bank_Besar,Jarak_Min_Bank_m,Kepadatan_Keuangan_Mikro,Jarak_Min_Keuangan_Mikro_m,populasi,persenatase perempuan,rata-rata usia,jumlah_kk,luas_km2,rata-rata anggota keluarga,kepadatan penduduk (jiwa/km2),ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000,Peserta Keluarga Berencana,Bukan Peserta Keluarga Berencana,Tanaman Pangan,Rumah Tangga Usaha Pertanian,Usaha Pertanian Perorangan,Pendapatan_Asli_Desa_Rp
41729,15200.967878521198,0.0104203866031431,280,103.15,0,1500.0,5,278.17,1,821.16,3448.0,50.58,36.64,1192.0,3.64,2.89,947.25,383.5,1406.31,2028.38,3630.06,7452.95,11150.87,14871.11,20149.0,26157.14,32736.61,282.0,218.0,250.0,285.0,295.0,38500000.0
43877,11329.737484631843,0.0124419440424066,410,34.43,0,1500.0,4,440.31,0,1500.0,3506.0,49.77,35.48,1185.0,2.39,2.96,1466.95,607.51,2010.84,4557.77,7446.37,11527.41,15504.89,19826.09,25029.73,31172.14,39087.52,399.0,87.0,147.0,214.0,217.0,284220000.0
44790,14195.389214014178,0.0108209477639168,245,146.62,0,1500.0,2,597.72,0,1500.0,3938.0,50.03,36.73,1373.0,3.91,2.87,1007.16,87.75,1031.48,3188.64,5080.56,8038.55,11839.12,17023.26,22660.92,27813.34,33995.01,456.0,97.0,226.0,294.0,300.0,60770000.0
50138,13053.041430501042,0.0090049230181622,192,82.66,0,1500.0,1,808.89,0,1500.0,1905.0,49.24,37.51,677.0,2.5,2.81,762.0,317.8,1188.26,2245.85,4194.79,6292.87,10068.43,14806.94,18754.63,23016.48,28289.8,196.0,73.0,180.0,229.0,235.0,90800000.0
52750,16081.837554942518,0.0078873847542538,177,78.77,0,1500.0,2,302.7,0,1500.0,2890.0,48.86,36.61,1004.0,3.18,2.88,908.81,4.36,905.56,2238.59,4182.67,6517.54,10422.99,13611.52,16343.89,20767.25,24778.95,269.0,82.0,380.0,393.0,395.0,55200000.0
52826,13522.108680820682,0.0110605173335553,438,87.11,0,1500.0,20,279.22,0,1500.0,6188.0,49.55,36.87,2134.0,3.23,2.9,1915.79,259.94,892.96,2525.77,6391.21,9877.46,13901.15,18157.04,23144.6,28891.21,34747.64,727.0,196.0,155.0,215.0,217.0,7277500.0
52884,13508.625841506326,0.0077615504900476,187,85.73,0,1500.0,1,936.59,0,1500.0,3085.0,49.95,36.65,1089.0,4.3,2.83,717.44,60.99,1398.73,3075.84,5588.13,7105.36,9890.58,13540.45,17645.92,20654.36,24383.63,248.0,149.0,179.0,214.0,216.0,83000000.0
52949,12615.860679426734,0.0105446325010172,253,46.36,0,1500.0,4,55.54,0,1500.0,3617.0,49.82,35.63,1233.0,3.91,2.93,925.06,804.23,2961.96,5437.23,9202.0,12819.35,16258.49,21134.55,25818.95,29000.04,33126.94,302.0,171.0,244.0,286.0,289.0,240500000.0
56622,18575.181966535307,0.0074014401496102,87,186.94,0,1500.0,2,916.24,0,1500.0,2883.0,48.94,37.35,999.0,5.54,2.89,520.4,285.26,958.62,1692.83,3874.22,6140.04,7926.11,10487.58,13797.42,17943.11,23252.31,331.0,81.0,308.0,367.0,370.0,60800000.0
56645,17007.733322600612,0.0086398820575877,175,75.15,0,1500.0,2,171.33,0,1500.0,3411.0,48.96,36.64,1146.0,4.89,2.98,697.55,403.76,1461.15,3155.33,4728.94,6797.6,8664.72,12660.68,17930.49,22260.59,27142.99,328.0,111.0,359.0,408.0,423.0,121200000.0
56672,17026.146555168958,0.0071262962670918,102,250.26,0,1500.0,1,550.99,1,807.26,2249.0,48.24,37.72,790.0,5.78,2.85,389.1,0.0,0.0,910.72,2539.85,4913.83,7292.17,10702.93,13537.49,17294.76,22387.92,233.0,83.0,193.0,227.0,228.0,47900000.0
36906,10010.581335948717,0.0199425568201562,758,40.92,0,1500.0,30,292.83,0,1500.0,9467.0,50.16,34.49,3135.0,2.35,3.02,4028.51,686.49,3168.68,7718.96,14397.04,21606.45,28837.36,36307.2,44913.64,53254.36,62651.39,876.0,434.0,181.0,225.0,229.0,0.0
48639,14229.490052072904,0.0081179811682008,174,62.56,0,1500.0,2,141.69,0,1500.0,2109.0,49.83,37.33,748.0,3.64,2.82,579.4,485.26,1679.85,3144.26,4929.32,6656.57,8995.04,13566.85,17574.78,21258.26,25503.39,201.0,109.0,229.0,254.0,264.0,52145000.0
49499,10798.194487296709,0.0087798015342575,278,182.37,0,1500.0,2,338.32,0,1500.0,4512.0,49.71,35.95,1539.0,3.8,2.93,1187.37,193.5,576.75,1842.14,2748.71,3820.43,7423.82,12342.26,16722.54,21406.51,27582.56,374.0,150.0,329.0,349.0,357.0,399200000.0
50292,12318.478300049706,0.0080727938967581,238,51.45,0,1500.0,2,907.17,0,1500.0,7514.0,49.84,35.82,2645.0,6.93,2.84,1084.27,341.53,782.81,2003.56,4604.74,6938.96,9365.74,12660.26,17800.87,21783.85,25361.43,694.0,297.0,582.0,720.0,722.0,155000000.0
55399,10379.176424499336,0.01070014916211,437,22.72,0,1500.0,10,105.09,0,1500.0,6842.0,50.39,35.82,2290.0,3.75,2.99,1824.53,408.21,1670.16,3830.44,7647.11,11344.77,14686.82,17998.25,21530.6,26274.99,33615.51,625.0,473.0,483.0,561.0,578.0,433450000.0
58658,10074.189749322284,0.0104693872270222,188,22.81,0,1500.0,5,387.22,0,1500.0,5445.0,50.51,34.38,1812.0,3.73,3.0,1459.79,645.81,1718.7,3104.35,5398.57,7411.05,9176.7,12821.95,16988.26,23358.07,32890.55,404.0,353.0,305.0,346.0,361.0,278200000.0
63262,10511.518849140137,0.0106228444231514,387,47.57,1,806.23,8,64.56,0,1500.0,6201.0,48.8,34.51,2064.0,2.22,3.0,2793.24,942.33,2900.04,5495.74,8611.94,12201.29,14730.01,18353.85,22327.9,27670.1,33372.65,638.0,319.0,248.0,330.0,333.0,234400000.0
65294,15922.198275939116,0.0062673879688066,145,7.39,0,1500.0,3,513.93,0,1500.0,2650.0,49.47,36.49,906.0,3.61,2.92,734.07,336.46,1049.23,2351.05,3769.32,5885.44,7808.61,9690.59,11877.64,15086.2,19689.58,231.0,111.0,253.0,280.0,281.0,89400000.0
65371,11524.620325012913,0.0,495,12.14,0,1500.0,16,189.8,0,1500.0,8055.0,50.4,35.42,2692.0,3.99,2.99,2018.8,792.96,2019.3,3634.19,5710.92,9206.07,13185.92,18321.14,23272.49,27980.31,35363.21,582.0,468.0,302.0,418.0,420.0,525000000.0
65373,12257.182136130545,0.0059541392098131,162,60.82,0,1500.0,5,590.18,0,1500.0,2271.0,50.11,37.2,816.0,3.66,2.78,620.49,0.0,461.43,1368.98,2177.18,3196.09,4795.1,6877.1,9664.55,12989.08,18705.48,236.0,73.0,170.0,187.0,190.0,71000000.0
65380,14118.69306796604,0.0067707345749279,119,105.56,0,1500.0,2,803.21,0,1500.0,3211.0,48.86,35.87,1078.0,4.09,2.98,785.09,23.33,495.3,1179.68,2223.33,4367.25,6773.54,10459.52,14180.71,17969.11,21270.89,430.0,79.0,306.0,360.0,378.0,48000000.0
65381,15948.440797234322,0.0081510185512878,103,140.32,0,1500.0,2,354.89,0,1500.0,2475.0,50.02,36.65,851.0,3.04,2.91,814.14,114.67,454.28,1797.79,3787.34,5878.56,7519.21,9519.53,12347.43,17988.28,25607.18,267.0,78.0,275.0,304.0,310.0,91300000.0
69987,15878.821635594042,0.0063163790433891,84,133.1,0,1500.0,1,248.64,0,1500.0,2285.0,49.72,37.77,810.0,3.86,2.82,591.97,692.54,1974.83,3931.89,5714.89,8058.9,10457.97,12646.24,14999.65,17258.15,19843.49,232.0,56.0,263.0,275.0,278.0,75480000.0
70912,14700.31665743786,0.004518084158295,47,17.36,0,1500.0,2,181.53,0,1500.0,2279.0,50.59,38.64,806.0,4.1,2.83,555.85,531.13,1785.03,3013.79,3875.49,4663.98,5431.38,7259.56,8509.29,11532.05,14193.98,178.0,100.0,242.0,272.0,274.0,92300000.0
41703,18363.290263333463,0.0146750215841381,650,29.62,0,1500.0,27,220.13,0,1500.0,4075.0,51.09,35.06,1437.0,1.2,2.84,3395.83,682.29,2476.2,4640.12,8747.17,12486.03,18914.9,24971.78,31603.81,39061.38,46102.94,363.0,235.0,39.0,81.0,82.0,215440000.0
